tweet_id,favorite_count,retweet_count
892420643555336193,38835,8598
892177421306343426,33263,6318
891815181378084864,25061,4192
891689557279858688,42211,8713
891327558926688256,40360,9485
891087950875897856,20242,3136
890971913173991426,11863,2089
890729181411237888,65607,19058
890609185150312448,27791,4301
890240255349198849,31974,7479
890006608113172480,30679,7397
889880896479866881,27816,5009
889665388333682689,48175,10148
889638837579907072,27196,4583
889531135344209921,15112,2255
889278841981685760,25323,5477
888917238123831296,29109,4532
888804989199671297,25613,4384
888554962724278272,19933,3613
888078434458587136,21778,3525
887705289381826560,30220,5438
887517139158093824,46286,11758
887473957103951883,69197,18393
887343217045368832,33738,10492
887101392804085760,30574,6006
886983233522544640,35193,7833
886736880519319552,12087,3323
886680336477933568,22456,4507
886366144734445568,21159,3207
886267009285017600,116,4
886258384151887873,28006,6343
886054160059072513,0,104
885984800019947520,32748,6869
885528943205470208,36047,6494
885518971528720385,20445,3791
885311592912609280,0,18736
885167619883638784,21976,4420
884925521741709313,77594,18606
884876753390489601,27969,5837
884562892145688576,24329,4914
884441805382717440,27016,5702
884247878851493888,73115,20627
884162670584377345,20407,3015
883838122936631299,21923,3478
883482846933004288,46017,10047
883360690899218434,22581,3714
883117836046086144,37263,6739
882992080364220416,23976,3958
882762694511734784,28355,4969
882627270321602560,27922,6151
882268110199369728,45027,11716
882045870035918850,29402,5037
881906580714921986,24332,3424
881666595344535552,50621,10783
881633300179243008,128,7
881536004380872706,49530,16149
881268444196462592,23101,5201
880935762899988482,17021,2804
880872448815771648,21327,3858
880465832366813184,28567,6353
880221127280381952,27115,4278
880095782870896641,27662,4402
879862464715927552,22338,3534
879674319642796034,314,10
879492040517615616,23435,3221
879415818425184262,106057,44646
879376492567855104,16784,3152
879130579576475649,0,6921
879050749262655488,22624,4769
879008229531029506,18995,2724
878776093423087618,19403,4171
878604707211726852,30330,7324
878404777348136964,0,1310
878316110768087041,0,6734
878281511006478336,7770,1310
878057613040115712,42104,6921
877736472329191424,80063,19411
877611172832227328,0,81
877556246731214848,22800,3874
877316821321428993,27409,5241
877201837425926144,27204,5670
876838120628539392,20717,3410
876537666061221889,23492,4671
876484053909872640,18812,2435
876120275196170240,27993,4760
875747767867523072,25265,4354
875144289856114688,21984,4993
875097192612077568,27491,6133
875021211251597312,25551,4786
874680097055178752,27935,4712
874434818259525634,0,15019
874296783580663808,26139,4183
874057562936811520,22726,4021
874012996292530176,34821,10643
873580283840344065,24354,4016
873337748698140672,0,1615
873213775632977920,7298,1615
872967104147763200,27514,5503
872820683541237760,14794,3763
872668790621863937,0,28
872620804844003328,20901,3779
872486979161796608,40925,9183
872261713294495745,34445,6456
872122724285648897,34671,8292
871879754684805121,38303,11466
871762521631449091,20400,3551
871515927908634625,20368,3526
871166179821445120,0,5812
871102520638267392,21072,5607
871032628920680449,22845,3888
870804317367881728,33929,6368
870726314365509632,120,3
870656317836468226,12551,2712
870374049280663552,83473,26893
870308999962521604,22032,4260
870063196459192321,37058,8579
869772420881756160,42866,10326
869702957897576449,28576,6502
869596645499047938,16173,3219
869227993411051520,20679,3902
868880397819494401,66495,14949
868639477480148993,0,2161
868622495443632128,27605,5943
868552278524837888,10313,2161
867900495410671616,24515,4306
867774946302451713,34496,7564
867421006826221569,16410,2598
867072653475098625,0,131
867051520902168576,32774,8152
866720684873056260,20443,5004
866686824827068416,19688,3614
866450705531457537,124500,36537
866334964761202691,53591,15019
866094527597207552,0,8680
865718153858494464,26087,5813
865359393868664832,26997,5199
865006731092295680,28554,7963
864873206498414592,32978,9059
864279568663928832,14923,3165
864197398364647424,30825,9304
863907417377173506,21065,4303
863553081350529029,15619,4344
863471782782697472,0,2580
863432100342583297,24330,5486
863427515083354112,2312,101
863079547188785154,8964,1146
863062471531167744,8741,2580
862831371563274240,19624,5285
862722525377298433,17476,3688
862457590147678208,21046,5182
862096992088072192,76442,24334
861383897657036800,36967,11166
861288531465048066,17633,4350
861005113778896900,17159,3984
860981674716409858,0,2256
860924035999428608,0,854
860563773140209665,7704,2256
860524505164394496,24233,5519
860276583193509888,18785,3637
860184849394610176,17138,6117
860177593139703809,0,32380
859924526012018688,20072,4295
859851578198683649,15814,3665
859607811541651456,19110,1653
859196978902773760,92528,31757
859074603037188101,34901,14288
858860390427611136,0,8542
858843525470990336,16002,3649
858471635011153920,22154,5089
858107933456039936,16210,3059
857989990357356544,16613,2716
857746408056729600,35326,11169
857393404942143489,6108,1718
857263160327368704,20641,4774
857214891891077121,237,20
857062103051644929,0,179
857029823797047296,19537,4223
856602993587888130,0,11292
856543823941562368,16823,3044
856526610513747968,12218,1987
856330835276025856,0,714
856288084350160898,534,17
856282028240666624,28594,6675
855862651834028034,361,28
855860136149123072,5129,1098
855857698524602368,12237,2243
855851453814013952,47000,18714
855818117272018944,27540,5771
855459453768019968,31058,8731
855245323840757760,0,6344
855138241867124737,0,49
854732716440526848,23728,6495
854482394044301312,30487,7335
854365224396361728,19650,5001
854120357044912130,33240,7987
854010172552949760,16842,3349
853760880890318849,29811,6197
853639147608842240,36424,10868
853299958564483072,16208,3814
852936405516943360,0,2168
852912242202992640,9451,1975
852672615818899456,15613,2304
852553447878664193,17133,3770
852311364735569921,34682,10623
852226086759018497,20940,7332
852189679701164033,11993,1697
851953902622658560,0,10379
851861385021730816,0,23
851591660324737024,16984,3723
851464819735769094,25454,7610
851224888060895234,21689,6167
850753642995093505,32644,10030
850380195714523136,13709,2818
850333567704068097,3586,360
850145622816686080,17168,4127
850019790995546112,21525,5293
849776966551130114,32069,8217
849668094696017920,0,5363
849412302885593088,16715,3388
849336543269576704,12045,2044
849051919805034497,44723,9226
848690551926992896,26583,4673
848324959059550208,26120,4983
848213670039564288,8631,811
848212111729840128,17268,3338
847978865427394560,0,3533
847971574464610304,0,465
847962785489326080,24807,5554
847842811428974592,5801,1464
847617282490613760,7409,456
847606175596138505,19812,3668
