tweet_id,error
888202515573088257,"[{'code': 144, 'message': 'No status found with that ID.'}]"
873697596434513921,"[{'code': 144, 'message': 'No status found with that ID.'}]"
869988702071779329,"[{'code': 144, 'message': 'No status found with that ID.'}]"
866816280283807744,"[{'code': 144, 'message': 'No status found with that ID.'}]"
861769973181624320,"[{'code': 144, 'message': 'No status found with that ID.'}]"
845459076796616705,"[{'code': 144, 'message': 'No status found with that ID.'}]"
842892208864923648,"[{'code': 144, 'message': 'No status found with that ID.'}]"
837012587749474308,"[{'code': 144, 'message': 'No status found with that ID.'}]"
827228250799742977,"[{'code': 144, 'message': 'No status found with that ID.'}]"
802247111496568832,"[{'code': 144, 'message': 'No status found with that ID.'}]"
775096608509886464,"[{'code': 144, 'message': 'No status found with that ID.'}]"
